,Lat,Temp,Humidity,Cloudiness,Windspeed
380,9.25,68.35,65,32,1.5
381,41.23,21.46,70,20,1.61
382,43.35,46.02,93,75,2.28
383,35.88,55.4,82,20,16.11
384,32.55,47.84,72,90,4.7
385,21.37,78.51,60,40,6.93
386,50.27,32.7,80,44,6.93
387,41.21,24.88,76,12,1.88
388,38.48,33.08,91,90,6.93
389,53.27,21.46,92,80,13.96
390,-25.53,69.8,83,8,3.36
391,42.81,26.73,79,90,8.05
392,32.83,54.73,77,90,8.05
393,47.05,30.7,86,75,8.05
394,33.14,20.51,68,80,1.83
395,38.62,47.16,81,90,6.93
396,53.13,36.19,80,40,11.41
397,43.42,28.08,67,1,3.36
398,-16.98,78.56,100,80,10.33
399,36.53,36.03,80,90,5.82
400,-28.17,66.14,94,24,2.21
401,34.19,44.6,56,40,4.7
402,20.95,75.2,64,40,6.93
403,-5.89,80.6,83,40,9.17
404,22.68,42.07,40,0,7.87
405,-20.3,49.76,86,80,10.94
406,33.84,42.1,70,75,6.93
407,39.62,44.71,15,1,4.7
408,38.93,30.4,76,1,4.7
409,40.21,32.93,77,0,2.55
410,49.62,32.31,90,90,5.82
411,35.73,38.25,75,90,5.82
412,56.3,28.4,86,90,15.66
413,52.74,40.68,93,40,11.41
414,-34.49,72.5,83,75,10.29
415,38.63,50.88,93,0,6.93
416,52.55,30.2,74,20,20.8
417,50.1,46.4,75,0,8.05
418,31.08,38.38,92,80,7.81
419,45.47,40.53,80,90,2.24
420,53.58,37.4,64,75,18.34
421,39.63,28.92,100,90,3.36
422,53.9,38.48,60,0,16.11
423,43.13,47.12,100,90,2.24
424,40.26,32.56,44,1,4.7
425,54.05,19.57,89,88,6.87
426,49.1,25.73,82,0,1.72
427,55.72,34.54,74,0,13.87
428,54.41,38.32,74,92,16.11
429,59.33,28.4,79,75,6.93
430,-28.62,77.63,65,0,5.82
431,42.58,44.76,45,0,6.93
432,45.22,37.4,74,0,4.7
433,21.08,75.2,64,40,6.93
434,-16.41,80.46,45,20,8.05
435,-4.82,58.58,99,56,3.0
436,34.02,43.99,81,90,2.21
437,29.8,38.74,98,92,3.06
438,37.98,54.72,76,75,13.87
439,49.31,33.44,92,75,14.99
440,-36.92,66.2,72,24,9.17
441,41.54,25.99,86,90,10.29
442,55.86,46.4,100,90,11.41
443,48.86,41.04,86,75,3.36
444,3.12,75.2,100,75,3.36
445,50.39,42.8,75,75,5.82
446,48.62,34.15,95,88,12.95
447,32.53,36.49,95,48,4.34
448,45.94,35.6,69,0,4.7
449,44.92,36.41,74,0,4.7
450,51.83,35.96,86,90,4.7
451,40.58,37.4,100,48,2.24
452,24.47,47.74,51,8,3.56
453,50.07,32.62,98,88,12.95
454,38.67,32.43,79,90,8.05
455,50.36,35.2,92,75,3.36
456,41.28,46.4,75,12,1.88
457,49.77,32.85,91,75,5.82
458,-21.06,75.2,60,0,5.82
459,-4.0,78.62,54,20,9.17
460,-34.75,77.0,78,75,6.93
461,46.53,8.6,92,90,6.93
462,31.35,41.0,100,90,4.47
463,13.36,80.6,88,40,5.82
464,40.25,17.32,100,0,28.01
465,54.93,21.46,88,80,13.4
466,29.15,59.0,54,0,6.93
467,21.41,65.11,47,24,2.39
468,41.18,21.19,71,12,2.73
469,44.88,46.4,87,90,3.36
470,50.54,30.78,74,88,12.75
471,45.17,32.7,74,0,4.7
472,40.88,30.2,100,24,5.82
473,38.09,44.6,75,0,5.82
474,53.42,42.84,80,75,8.05
475,51.2,40.41,93,40,10.29
476,39.66,42.8,100,48,2.24
477,50.41,25.83,85,75,16.11
478,62.25,35.6,100,8,10.29
479,9.49,75.59,100,92,14.97
480,-7.22,72.89,96,12,4.07
481,-33.15,78.8,65,75,9.17
482,50.9,35.58,86,20,9.17
483,40.28,45.89,100,0,8.77
484,53.73,39.2,60,0,16.11
485,48.08,46.4,70,90,3.89
486,27.74,21.91,63,0,1.32
487,48.89,42.8,87,90,5.82
488,-3.91,66.37,96,20,2.33
489,49.79,37.51,91,75,3.36
490,56.03,27.46,86,90,15.66
491,41.9,42.8,87,0,3.36
492,29.89,31.72,93,92,2.51
493,52.36,32.85,74,40,18.34
494,31.47,38.51,66,64,12.06
495,38.79,52.72,71,90,9.17
496,47.05,29.19,74,75,17.22
497,41.74,27.5,74,90,8.05
498,44.32,46.4,81,90,3.36
499,46.35,28.63,78,40,9.17
500,5.61,77.93,96,20,6.13
501,41.94,38.24,83,8,5.01
502,41.09,37.4,71,32,4.7
503,49.41,32.29,93,90,5.82
504,39.51,30.34,57,1,6.93
505,44.82,24.88,81,0,3.51
506,49.93,34.11,74,20,11.41
507,50.08,37.51,91,75,3.36
508,-31.38,71.6,88,75,5.82
509,16.54,62.09,90,8,2.77
510,47.58,29.86,80,80,14.99
511,30.75,39.23,71,0,4.0
512,54.63,38.3,74,92,13.87
513,44.82,37.03,58,0,9.44
514,-3.41,79.64,100,44,5.3
515,-21.1,77.92,69,0,8.05
516,41.8,29.78,84,0,8.1
517,45.89,33.93,42,0,8.05
518,47.3,34.56,86,75,8.05
519,52.05,32.59,74,40,18.34
520,45.45,30.49,74,0,4.7
521,51.65,37.4,69,75,8.05
522,40.84,29.84,46,20,11.41
523,40.73,30.2,36,1,6.8
524,39.16,30.18,55,1,6.93
525,-14.63,40.99,100,48,2.21
526,14.63,77.79,52,20,9.17
527,15.99,65.2,75,0,2.89
528,52.0,16.64,86,64,11.83
529,48.97,42.3,86,75,3.36
530,49.71,37.51,92,75,3.36
531,40.59,30.2,100,24,5.82
532,-1.69,71.6,83,75,9.6
533,45.57,38.84,86,20,5.82
534,53.8,39.2,60,0,16.11
535,-33.53,84.01,51,0,4.52
536,55.7,28.4,86,90,13.42
537,42.72,41.61,93,0,3.36
538,48.6,41.93,80,92,5.01
539,39.21,30.0,86,90,9.17
540,46.46,35.76,69,0,4.74
541,49.61,41.49,87,90,4.7
542,47.9,43.38,87,90,3.36
543,-18.17,77.0,94,75,2.24
544,42.6,35.6,80,40,5.82
545,50.86,41.47,75,0,8.05
546,49.72,35.42,92,40,10.29
547,52.31,29.83,89,88,23.58
548,48.72,42.8,87,90,5.82
549,54.1,38.32,74,92,16.11
550,-34.23,62.95,53,0,2.1
551,50.49,39.6,93,0,5.82
552,40.09,25.45,92,1,6.24
553,48.52,26.63,86,64,10.83
554,49.04,33.48,69,80,11.41
555,37.47,56.34,61,75,10.29
556,53.96,-11.67,70,68,2.89
557,54.01,39.2,60,0,16.11
558,43.98,42.75,87,90,6.93
559,16.91,50.48,97,0,1.05
560,-21.86,80.68,69,24,1.5
561,6.62,81.76,100,68,4.74
562,41.62,9.76,59,56,8.25
563,-28.53,78.3,61,40,8.05
564,51.18,13.9,82,0,0.6
565,48.02,32.0,91,20,12.75
566,52.33,38.75,86,8,8.05
567,51.58,37.49,94,1,4.7
568,51.86,46.4,100,75,5.82
569,53.72,37.4,64,75,18.34
570,41.38,43.68,81,0,8.05
571,-6.99,75.2,100,20,4.7
572,-8.29,75.46,96,76,1.05
573,-13.7,49.09,82,80,1.99
574,-20.15,78.8,78,20,5.82
575,47.84,32.0,95,75,20.8
576,39.16,41.88,87,0,4.7
577,18.45,68.66,87,44,1.28
578,37.36,46.4,87,88,8.05
579,-9.54,73.16,87,56,5.41
580,6.04,76.63,83,44,4.23
581,52.75,19.4,85,1,5.82
582,41.46,20.33,87,8,2.28
583,47.14,44.6,75,90,2.24
584,42.73,31.48,100,75,6.93
585,29.33,41.17,88,0,8.81
586,44.6,57.2,19,0,13.87
587,30.48,47.19,65,90,8.05
588,46.22,28.78,78,40,9.17
589,40.57,28.78,50,1,4.7
590,55.33,33.8,64,0,17.22
591,44.87,41.0,93,75,4.47
592,42.42,11.2,64,0,1.39
593,56.05,37.99,99,92,13.87
594,47.76,32.0,81,0,20.8
595,43.38,50.0,100,24,3.36
596,47.27,45.77,65,90,4.7
597,34.33,43.48,86,90,2.84
598,47.04,37.4,93,0,2.84
599,-7.72,75.2,100,20,4.7
600,47.57,31.21,86,75,8.05
601,26.76,44.6,81,0,5.82
602,46.22,33.64,79,75,9.17
603,37.45,32.97,78,90,5.82
604,-27.72,80.6,61,40,2.24
605,34.42,55.74,81,75,11.41
606,43.2,46.33,100,90,2.24
607,41.26,39.2,80,0,4.7
608,45.6,33.06,33,0,13.87
609,41.52,39.2,86,20,1.88
610,36.68,45.79,80,0,3.36
611,51.48,33.73,74,0,18.34
612,39.06,25.74,85,75,5.82
